2023-11-20 00:41:09,300 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from »úÐµ±Û.STEP-1
2023-11-20 00:41:09,300 INFO  ExportHelperExtension.cs: 1136 - Found 120 in »úÐµ±Û.STEP-1
2023-11-20 00:41:09,301 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in »úÐµ±Û.STEP-1
2023-11-20 00:41:09,301 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from »úÐµ±Û
2023-11-20 00:41:09,302 INFO  ExportHelperExtension.cs: 1136 - Found 29 in »úÐµ±Û
2023-11-20 00:41:09,302 INFO  ExportHelperExtension.cs: 1145 - Found 6 features of type [RefAxis] in »úÐµ±Û
2023-11-20 00:41:09,302 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2023-11-20 00:41:09,302 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2023-11-20 00:41:09,303 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from »úÐµ±Û.STEP-1
2023-11-20 00:41:09,303 INFO  ExportHelperExtension.cs: 1136 - Found 120 in »úÐµ±Û.STEP-1
2023-11-20 00:41:09,304 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in »úÐµ±Û.STEP-1
2023-11-20 00:41:09,531 INFO  SwAddin.cs: 339 - Loading config tree
2023-11-20 00:41:09,531 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2023-11-20 00:41:09,533 INFO  SwAddin.cs: 344 - Showing property manager
2023-11-20 00:43:48,046 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-11-20 00:44:35,083 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
